Years,General merchandise ($),Foods feeds and beverages ($),Industrial supplies and materials ($),Capital goods except automotive ($),Automotive vehicles parts and engines ($),Consumer goods except food and automotive ($)
1999,1029538000000,44081000000,224140000000,296095000000,178242000000,243650000000
2000,1225780000000,46489000000,303768000000,347706000000,194954000000,284634000000
2001,1149319000000,47218000000,279193000000,299150000000,188746000000,287054000000
2002,1170318000000,50318000000,272761000000,284923000000,202777000000,311331000000
2003,1268332000000,56521000000,320045000000,297643000000,209172000000,338383000000
2004,1484126000000,62999000000,420399000000,346116000000,227332000000,378112000000
2005,1691201000000,69072000000,533686000000,382833000000,238715000000,412734000000
2006,1872316000000,76081000000,613242000000,422611000000,255962000000,447647000000
2007,1977283000000,82974000000,648412000000,449117000000,258497000000,479758000000
2008,2127790000000,90439000000,798796000000,458698000000,233204000000,485679000000
2009,1569630000000,82861000000,469641000000,374054000000,159188000000,429853000000
2010,1924446000000,92492000000,610268000000,450406000000,225641000000,485121000000
2011,2221911000000,108257000000,765553000000,513430000000,255226000000,515868000000
2012,2284535000000,111127000000,734803000000,551777000000,298498000000,518821000000
2013,2276499000000,116003000000,686673000000,558971000000,309573000000,532876000000
2014,2370016000000,126805000000,675567000000,598759000000,329498000000,558700000000
2015,2260659000000,128762000000,492483000000,607160000000,350049000000,596417000000
2016,2189041000000,131010000000,441793000000,593614000000,350847000000,584900000000
2017,2343660000000,138825000000,508645000000,642864000000,359118000000,603470000000
2018,2544465000000,148257000000,580206000000,694229000000,372009000000,647659000000
2019,2501636000000,151559000000,525562000000,679126000000,376016000000,655517000000
2020,2289160000000,155449000000,430058000000,648503000000,311305000000,641055000000
2021,2827346000000,183301000000,640761000000,766303000000,348223000000,767563000000
