Years,Imports,Exports
2000,1888038000000,1486120000000
2001,1762222000000,1368140000000
2002,1801615000000,1345506000000
2003,1959436000000,1437148000000
2004,2296994000000,1661104000000
2005,2642385000000,1893153000000
2006,3020864000000,2204218000000
2007,3284485000000,2547935000000
2008,3450900000000,2754377000000
2009,2710899000000,2331170000000
2010,3119466000000,2687457000000
2011,3491977000000,3036675000000
2012,3569312000000,3151197000000
2013,3589927000000,3250471000000
2014,3749116000000,3379128000000
2015,3646898000000,3238009000000
2016,3634858000000,3237288000000
2017,3910050000000,3548345000000
2018,4231878000000,3793642000000
2019,4284604000000,3812458000000
2020,3874737000000,3258642000000
2021,4615364000000,3793730000000
